Chunk,Density,Difficulty,SMB,KI
ki_chunk_0.txt,29.6875,0,0,1
ki_chunk_1.txt,28.515625,0,0,1
ki_chunk_10.txt,13.28125,0,0,1
ki_chunk_100.txt,25.78125,2.34375,0,1
ki_chunk_101.txt,25.78125,2.34375,0,1
ki_chunk_102.txt,30.46875,2.34375,0,1
ki_chunk_103.txt,27.34375,2.34375,0,1
ki_chunk_104.txt,30.46875,2.34375,0,1
ki_chunk_105.txt,35.546875,1.5625,0,1
ki_chunk_106.txt,32.421875,1.5625,0,1
ki_chunk_107.txt,35.546875,1.5625,0,1
ki_chunk_108.txt,39.84375,1.5625,0,1
ki_chunk_109.txt,42.1875,1.5625,0,1
ki_chunk_11.txt,11.328125,0,0,1
ki_chunk_110.txt,45.3125,1.5625,0,1
ki_chunk_111.txt,50.78125,0.78125,0,1
ki_chunk_112.txt,47.65625,0.78125,0,1
ki_chunk_113.txt,50.78125,0.78125,0,1
ki_chunk_114.txt,54.6875,0,0,1
ki_chunk_115.txt,51.171875,0,0,1
ki_chunk_116.txt,53.90625,0,0,1
ki_chunk_117.txt,58.59375,0,0,1
ki_chunk_118.txt,57.03125,0,0,1
ki_chunk_119.txt,57.03125,0,0,1
ki_chunk_12.txt,12.890625,0,0,1
ki_chunk_120.txt,58.984375,0,0,1
ki_chunk_121.txt,57.03125,0,0,1
ki_chunk_122.txt,57.03125,0,0,1
ki_chunk_123.txt,58.203125,0,0,1
ki_chunk_124.txt,57.03125,0,0,1
ki_chunk_125.txt,57.03125,0,0,1
ki_chunk_126.txt,59.375,0,0,1
ki_chunk_127.txt,57.03125,0,0,1
ki_chunk_128.txt,57.03125,0,0,1
ki_chunk_129.txt,57.8125,0,0,1
ki_chunk_13.txt,12.890625,0,0,1
ki_chunk_130.txt,57.03125,0,0,1
ki_chunk_131.txt,57.421875,0,0,1
ki_chunk_132.txt,57.421875,0,0,1
ki_chunk_133.txt,55.46875,0,0,1
ki_chunk_134.txt,55.859375,0,0,1
ki_chunk_135.txt,56.25,0,0,1
ki_chunk_136.txt,54.296875,0,0,1
ki_chunk_137.txt,54.296875,0,0,1
ki_chunk_138.txt,55.46875,0,0,1
ki_chunk_139.txt,54.296875,0,0,1
ki_chunk_14.txt,14.453125,0,0,1
ki_chunk_140.txt,54.296875,0,0,1
ki_chunk_141.txt,54.6875,0,0,1
ki_chunk_142.txt,50.78125,0,0,1
ki_chunk_143.txt,49.21875,0,0,1
ki_chunk_144.txt,48.046875,0,0,1
ki_chunk_145.txt,44.140625,0.390625,0,1
ki_chunk_146.txt,47.265625,0.390625,0,1
ki_chunk_147.txt,44.53125,0.390625,0,1
ki_chunk_148.txt,43.359375,0.390625,0,1
ki_chunk_149.txt,41.015625,0.390625,0,1
ki_chunk_15.txt,12.890625,0,0,1
ki_chunk_150.txt,37.5,0.390625,0,1
ki_chunk_151.txt,34.375,0.390625,0,1
ki_chunk_152.txt,31.640625,0.390625,0,1
ki_chunk_153.txt,28.90625,1.171875,0,1
ki_chunk_154.txt,30.859375,1.171875,0,1
ki_chunk_155.txt,27.734375,1.171875,0,1
ki_chunk_156.txt,24.609375,1.171875,0,1
ki_chunk_157.txt,21.484375,1.171875,0,1
ki_chunk_158.txt,20.3125,1.171875,0,1
ki_chunk_159.txt,19.140625,1.953125,0,1
ki_chunk_16.txt,13.28125,0,0,1
ki_chunk_160.txt,23.4375,1.953125,0,1
ki_chunk_161.txt,23.4375,1.5625,0,1
ki_chunk_162.txt,17.578125,1.5625,0,1
ki_chunk_163.txt,18.75,1.5625,0,1
ki_chunk_164.txt,17.578125,1.5625,0,1
ki_chunk_165.txt,17.1875,1.5625,0,1
ki_chunk_166.txt,17.578125,1.5625,0,1
ki_chunk_167.txt,17.578125,1.5625,0,1
ki_chunk_168.txt,17.578125,2.34375,0,1
ki_chunk_169.txt,23.4375,1.5625,0,1
ki_chunk_17.txt,13.28125,0.390625,0,1
ki_chunk_170.txt,17.1875,1.5625,0,1
ki_chunk_171.txt,17.1875,1.5625,0,1
ki_chunk_172.txt,17.578125,1.5625,0,1
ki_chunk_173.txt,17.578125,1.5625,0,1
ki_chunk_174.txt,17.578125,2.34375,0,1
ki_chunk_175.txt,23.4375,1.5625,0,1
ki_chunk_176.txt,17.1875,1.5625,0,1
ki_chunk_177.txt,17.1875,1.5625,0,1
ki_chunk_178.txt,17.96875,1.5625,0,1
ki_chunk_179.txt,16.40625,1.5625,0,1
ki_chunk_18.txt,16.40625,0.390625,0,1
ki_chunk_180.txt,17.96875,1.5625,0,1
ki_chunk_181.txt,18.75,1.5625,0,1
ki_chunk_182.txt,19.140625,1.5625,0,1
ki_chunk_183.txt,22.65625,1.5625,0,1
ki_chunk_184.txt,23.4375,0.78125,0,1
ki_chunk_185.txt,20.3125,0.78125,0,1
ki_chunk_186.txt,21.09375,0.78125,0,1
ki_chunk_187.txt,21.875,0.78125,0,1
ki_chunk_188.txt,26.5625,0.78125,0,1
ki_chunk_189.txt,29.6875,0.78125,0,1
ki_chunk_19.txt,14.84375,0.390625,0,1
ki_chunk_190.txt,32.03125,0,0,1
ki_chunk_2.txt,23.828125,0,0,1
ki_chunk_20.txt,16.40625,0.390625,0,1
ki_chunk_21.txt,13.28125,0.390625,0,1
ki_chunk_22.txt,14.84375,0.390625,0,1
ki_chunk_23.txt,14.84375,0.390625,0,1
ki_chunk_24.txt,14.84375,0.390625,0,1
ki_chunk_25.txt,14.84375,0.390625,0,1
ki_chunk_26.txt,14.84375,0.390625,0,1
ki_chunk_27.txt,16.40625,0.390625,0,1
ki_chunk_28.txt,13.671875,0.390625,0,1
ki_chunk_29.txt,15.234375,0.390625,0,1
ki_chunk_3.txt,21.484375,0,0,1
ki_chunk_30.txt,13.671875,0.390625,0,1
ki_chunk_31.txt,15.234375,0.390625,0,1
ki_chunk_32.txt,13.671875,0.390625,0,1
ki_chunk_33.txt,16.796875,0,0,1
ki_chunk_34.txt,13.671875,0.390625,0,1
ki_chunk_35.txt,14.84375,0.390625,0,1
ki_chunk_36.txt,13.28125,0.390625,0,1
ki_chunk_37.txt,14.84375,0.390625,0,1
ki_chunk_38.txt,13.28125,0.390625,0,1
ki_chunk_39.txt,14.84375,0.390625,0,1
ki_chunk_4.txt,19.921875,0,0,1
ki_chunk_40.txt,13.28125,0.390625,0,1
ki_chunk_41.txt,13.28125,0.390625,0,1
ki_chunk_42.txt,16.015625,0.390625,0,1
ki_chunk_43.txt,13.28125,0.390625,0,1
ki_chunk_44.txt,14.84375,0.390625,0,1
ki_chunk_45.txt,13.28125,0.390625,0,1
ki_chunk_46.txt,14.84375,0.390625,0,1
ki_chunk_47.txt,13.28125,0.78125,0,1
ki_chunk_48.txt,16.40625,0.78125,0,1
ki_chunk_49.txt,13.28125,0.78125,0,1
ki_chunk_5.txt,21.875,0,0,1
ki_chunk_50.txt,14.84375,0.390625,0,1
ki_chunk_51.txt,13.671875,0.390625,0,1
ki_chunk_52.txt,15.234375,0.390625,0,1
ki_chunk_53.txt,13.671875,0.390625,0,1
ki_chunk_54.txt,15.234375,0.390625,0,1
ki_chunk_55.txt,13.671875,0.390625,0,1
ki_chunk_56.txt,13.671875,0.390625,0,1
ki_chunk_57.txt,16.40625,0.390625,0,1
ki_chunk_58.txt,13.671875,0.390625,0,1
ki_chunk_59.txt,15.234375,0.390625,0,1
ki_chunk_6.txt,20.703125,0,0,1
ki_chunk_60.txt,13.671875,0.390625,0,1
ki_chunk_61.txt,15.234375,0.390625,0,1
ki_chunk_62.txt,13.671875,0.390625,0,1
ki_chunk_63.txt,16.796875,0,0,1
ki_chunk_64.txt,13.671875,0.390625,0,1
ki_chunk_65.txt,14.84375,0.390625,0,1
ki_chunk_66.txt,13.28125,0.390625,0,1
ki_chunk_67.txt,14.84375,0.390625,0,1
ki_chunk_68.txt,13.28125,0.390625,0,1
ki_chunk_69.txt,14.84375,0.390625,0,1
ki_chunk_7.txt,19.921875,0,0,1
ki_chunk_70.txt,13.28125,0.390625,0,1
ki_chunk_71.txt,13.28125,0.390625,0,1
ki_chunk_72.txt,19.53125,0.390625,0,1
ki_chunk_73.txt,16.796875,0.390625,0,1
ki_chunk_74.txt,16.796875,1.171875,0,1
ki_chunk_75.txt,21.484375,1.171875,0,1
ki_chunk_76.txt,21.484375,1.171875,0,1
ki_chunk_77.txt,19.921875,1.171875,0,1
ki_chunk_78.txt,20.703125,1.171875,0,1
ki_chunk_79.txt,17.578125,1.171875,0,1
ki_chunk_8.txt,20.703125,0,0,1
ki_chunk_80.txt,17.578125,1.5625,0,1
ki_chunk_81.txt,22.65625,1.5625,0,1
ki_chunk_82.txt,22.65625,1.5625,0,1
ki_chunk_83.txt,21.09375,2.34375,0,1
ki_chunk_84.txt,27.34375,2.34375,0,1
ki_chunk_85.txt,25.78125,2.34375,0,1
ki_chunk_86.txt,25.78125,2.34375,0,1
ki_chunk_87.txt,32.03125,2.34375,0,1
ki_chunk_88.txt,25.78125,2.34375,0,1
ki_chunk_89.txt,25.78125,3.125,0,1
ki_chunk_9.txt,16.40625,0,0,1
ki_chunk_90.txt,32.03125,2.34375,0,1
ki_chunk_91.txt,25.78125,2.34375,0,1
ki_chunk_92.txt,25.78125,2.34375,0,1
ki_chunk_93.txt,26.5625,2.34375,0,1
ki_chunk_94.txt,25.78125,2.34375,0,1
ki_chunk_95.txt,25.78125,3.125,0,1
ki_chunk_96.txt,32.03125,2.34375,0,1
ki_chunk_97.txt,25.78125,2.34375,0,1
ki_chunk_98.txt,25.78125,3.125,0,1
ki_chunk_99.txt,32.03125,2.34375,0,1
,,,,
smb_chunk_0.txt,6.25,0,1,0
smb_chunk_1.txt,6.640625,0,1,0
smb_chunk_10.txt,8.984375,0.390625,1,0
smb_chunk_100.txt,8.59375,0.390625,1,0
smb_chunk_101.txt,8.203125,0.390625,1,0
smb_chunk_102.txt,7.8125,0.390625,1,0
smb_chunk_103.txt,8.203125,0.390625,1,0
smb_chunk_104.txt,8.203125,0.390625,1,0
smb_chunk_105.txt,8.203125,0.390625,1,0
smb_chunk_106.txt,8.59375,0.390625,1,0
smb_chunk_107.txt,8.59375,0,1,0
smb_chunk_108.txt,8.984375,0,1,0
smb_chunk_109.txt,8.984375,0.390625,1,0
smb_chunk_11.txt,8.984375,0.390625,1,0
smb_chunk_110.txt,8.203125,0.78125,1,0
smb_chunk_111.txt,8.203125,0.78125,1,0
smb_chunk_112.txt,8.203125,1.171875,1,0
smb_chunk_113.txt,8.203125,1.171875,1,0
smb_chunk_114.txt,8.984375,1.5625,1,0
smb_chunk_115.txt,9.765625,1.5625,1,0
smb_chunk_116.txt,10.15625,1.5625,1,0
smb_chunk_117.txt,10.15625,1.5625,1,0
smb_chunk_118.txt,10.15625,1.5625,1,0
smb_chunk_119.txt,10.15625,1.5625,1,0
smb_chunk_12.txt,8.984375,0.390625,1,0
smb_chunk_120.txt,10.9375,1.5625,1,0
smb_chunk_121.txt,12.109375,1.5625,1,0
smb_chunk_122.txt,13.28125,1.5625,1,0
smb_chunk_123.txt,12.890625,1.5625,1,0
smb_chunk_124.txt,12.5,1.5625,1,0
smb_chunk_125.txt,14.0625,1.171875,1,0
smb_chunk_126.txt,15.234375,0.78125,1,0
smb_chunk_127.txt,16.015625,0.78125,1,0
smb_chunk_128.txt,16.40625,0.390625,1,0
smb_chunk_129.txt,16.015625,0.390625,1,0
smb_chunk_13.txt,8.984375,0.390625,1,0
